,round_epochs,val_loss,val_acc,val_fmeasure_acc,loss,acc,fmeasure_acc,first_neuron,activation,optimizer,losses,hidden_layers,batch_size,epochs,dropout,kernel_initializer,lr,last_activation,
42,50,0.6648314053362067,0.709090921011838,0.40086574987931684,0.6352713012695312,0.8399999928474426,0.21549204587936402,16,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,10,50,0.0,normal,0.1,sigmoid,42
43,50,0.6937805793502114,0.36363636634566565,0.25719004463065753,0.6936670827865601,0.40800000667572023,0.21439996004104614,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,50,0.0,normal,0.001,sigmoid,43
44,25,0.684075490994887,0.709090921011838,0.0,0.6788731431961059,0.8320000100135804,0.0,16,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,25,0.0,uniform,0.01,sigmoid,44
45,10,0.6796726801178672,0.709090921011838,0.0,0.6714050078392029,0.8319999980926513,0.0,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,10,0.0,uniform,0.01,sigmoid,45
46,4,0.6980500492182645,0.2909090938893231,0.44729338721795514,0.7011440515518188,0.19199999928474426,0.28413785934448244,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,0,20,4,0.1,uniform,0.1,sigmoid,46
47,4,0.6946865645321932,0.2909090979532762,0.3382071988149123,0.6942820453643799,0.4160000050067902,0.29373910903930667,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,30,4,0.2,normal,0.001,sigmoid,47
48,50,0.6912118629975752,0.7272727272727273,0.25668447667902167,0.689452166557312,0.8400000095367431,0.2527058565616608,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,30,50,0.2,uniform,0.01,sigmoid,48
49,10,0.6884923306378451,0.709090921011838,0.0,0.6846274662017823,0.8319999933242798,0.22666664600372313,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,10,10,0.2,normal,0.01,sigmoid,49
50,4,0.675042829730294,0.709090921011838,0.0,0.6643690037727356,0.8399999952316284,0.07999998569488526,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,10,4,0.1,normal,0.1,sigmoid,50
51,10,0.681443219835108,0.709090921011838,0.0,0.6742407703399658,0.8320000028610229,0.015999997854232787,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,10,0.1,normal,0.01,sigmoid,51
52,10,0.6912187392061407,0.7090909047560259,0.2666666507720947,0.6900104475021362,0.8320000100135804,0.20641756057739258,16,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,20,10,0.0,uniform,0.1,sigmoid,52
53,4,0.6639694679867137,0.7090908993374218,0.0,0.6447293138504029,0.832000013589859,0.0,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,20,4,0.0,normal,0.001,sigmoid,53
54,25,0.6675152507695284,0.7818181731484153,0.43722939220341767,0.651534013748169,0.8320000028610229,0.2862159776687622,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,10,25,0.1,uniform,0.1,sigmoid,54
55,25,0.7049009258096869,0.2909090938893231,0.44729338721795514,0.7114941358566285,0.16800000488758088,0.28695650219917296,32,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,20,25,0.0,uniform,0.001,sigmoid,55
56,10,0.7205777330832048,0.2909090938893231,0.43722939220341767,0.7365786695480346,0.16800000429153442,0.2799067211151123,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,0,10,10,0.1,normal,0.01,sigmoid,56
57,25,0.6878541978922758,0.709090921011838,0.16656066477298737,0.6845962357521057,0.8320000100135804,0.16090905904769898,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,25,0.1,uniform,0.1,sigmoid,57
58,50,0.6612959233197299,0.7090908993374218,0.0,0.6405494403839112,0.8320000195503234,0.0,32,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,20,50,0.0,uniform,0.01,sigmoid,58
59,10,0.6255012208765204,0.709090921011838,0.0,0.5742969620227814,0.8320000004768372,0.0,16,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,10,0.0,normal,0.1,sigmoid,59
60,50,0.6915640885179694,0.6909090876579285,0.08391605453057722,0.690047447681427,0.8320000028610229,0.15792205452919006,8,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,30,50,0.0,normal,0.01,sigmoid,60
61,50,0.6934046257625927,0.5090909220955588,0.3573426062410528,0.6931852674484253,0.5760000002384186,0.3395803785324097,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,20,50,0.2,normal,0.001,sigmoid,61
62,25,0.6875433271581476,0.709090921011838,0.0,0.6843349981307983,0.8320000028610229,0.0,32,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,25,0.0,uniform,0.001,sigmoid,62
63,25,0.6930183822458441,0.6545454588803378,0.5035314749587666,0.6929540228843689,0.6960000109672546,0.2799058437347412,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,30,25,0.1,uniform,0.01,sigmoid,63
64,25,0.6732200113209811,0.709090921011838,0.4500506980852647,0.6611005330085754,0.8320000100135804,0.31217423200607297,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,0,30,25,0.1,uniform,0.1,sigmoid,64
65,4,0.7060940644957803,0.2909090952439742,0.4500506980852647,0.7136382007598877,0.16800000488758088,0.28565672516822815,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,30,4,0.0,normal,0.01,sigmoid,65
66,10,0.6952124346386303,0.2909090952439742,0.4500506980852647,0.6943657064437866,0.5119999992847443,0.33364737033843994,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,10,0.2,normal,0.01,sigmoid,66
67,4,0.6887162327766418,0.709090921011838,0.0,0.6809686613082886,0.6160000085830688,0.2522214674949646,32,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,4,0.2,normal,0.001,sigmoid,67
68,4,0.6929048787463795,0.6545454615896399,0.32929290153763513,0.6928284382820129,0.6880000042915344,0.2125714135169983,8,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,4,0.2,uniform,0.001,sigmoid,68
69,10,0.6996890794147145,0.2909090938893231,0.43722939220341767,0.7023644351959228,0.24800000429153443,0.2862097537517548,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,10,10,0.1,uniform,0.01,sigmoid,69
70,4,0.6910667419433594,0.709090921011838,0.18181815472516147,0.6901233506202697,0.8319999980926513,0.15199998617172242,8,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,10,4,0.2,uniform,0.1,sigmoid,70
71,25,0.6931266405365684,0.5272727391936562,0.25757570564746857,0.6926734018325805,0.7520000076293946,0.3838218140602112,16,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,25,0.2,uniform,0.001,sigmoid,71
72,10,0.6936510692943226,0.3454545573754744,0.24948613210157913,0.6932387876510621,0.4640000104904175,0.2841025257110596,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,10,0.2,uniform,0.001,sigmoid,72
73,10,0.6930727091702548,0.6181818084283308,0.41573627428574994,0.6930202555656433,0.5840000009536743,0.2275816810131073,8,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,20,10,0.1,uniform,0.001,sigmoid,73
74,50,0.6492230892181396,0.709090921011838,0.0,0.5974850201606751,0.8320000028610229,0.22152378559112548,8,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,10,50,0.2,uniform,0.1,sigmoid,74
75,4,0.6913460167971525,0.709090921011838,0.43722939220341767,0.6915484380722046,0.8319999933242798,0.27601727962493894,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,4,0.0,uniform,0.1,sigmoid,75
76,10,0.687840228730982,0.709090921011838,0.0,0.6846741724014282,0.8320000100135804,0.0,8,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,10,0.0,uniform,0.01,sigmoid,76
77,50,0.6537966511466287,0.7090908993374218,0.0,0.6268441843986511,0.8320000171661377,0.0,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,20,50,0.2,normal,0.1,sigmoid,77
78,50,0.6918442411856218,0.6181818301027472,0.3649732064117085,0.6905895709991455,0.7279999947547913,0.32520121335983276,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,50,0.1,normal,0.01,sigmoid,78
79,4,0.6868696700442921,0.709090921011838,0.0,0.6823533725738525,0.6640000081062317,0.23771426677703858,32,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,0,10,4,0.2,normal,0.01,sigmoid,79
80,25,0.6924875649538907,0.709090915593234,0.2727272293784402,0.692282497882843,0.7440000021457672,0.3119999599456787,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,0,10,25,0.1,uniform,0.001,sigmoid,80
81,25,0.687871125611392,0.709090921011838,0.0,0.6832895636558532,0.8480000019073486,0.3329411363601685,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,25,0.2,uniform,0.1,sigmoid,81
82,10,0.6866298317909241,0.7090908993374218,0.44729338721795514,0.6854360485076905,0.6480000042915344,0.30823261141777036,32,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,20,10,0.2,uniform,0.1,sigmoid,82
83,25,0.6924718835137107,0.6545454588803378,0.3847566246986389,0.6921270418167115,0.7680000030994415,0.21733330249786376,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,10,25,0.0,normal,0.01,sigmoid,83
84,4,0.6933189630508423,0.49090909416025336,0.4222221862186085,0.6932104349136352,0.504000004529953,0.23130156636238097,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,10,4,0.0,normal,0.01,sigmoid,84
85,4,0.6877773837609724,0.709090921011838,0.0,0.68413893699646,0.8319999933242798,0.0,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,4,0.1,uniform,0.01,sigmoid,85
86,50,0.6905701322989031,0.7272727326913313,0.356565613638271,0.6889139938354493,0.8320000052452088,0.27961902141571043,4,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,10,50,0.0,uniform,0.01,sigmoid,86
87,4,0.7072115648876537,0.2909090938893231,0.44729338721795514,0.7142573976516724,0.16800000429153442,0.28392091870307923,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,20,4,0.2,uniform,0.001,sigmoid,87
88,25,0.6763633056120439,0.709090921011838,0.0,0.6653928470611572,0.8320000028610229,0.36419044733047484,4,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,25,0.2,uniform,0.1,sigmoid,88
89,10,0.6942154494198886,0.34545455331152136,0.2570247623053464,0.6933562254905701,0.5520000112056732,0.2570793354511261,8,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,10,10,0.1,normal,0.01,sigmoid,89
90,25,0.6851851560852744,0.7090908993374218,0.44729338721795514,0.6805915260314941,0.8400000023841858,0.2859024727344513,16,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,2,20,25,0.0,normal,0.1,sigmoid,90
91,25,0.7412145246158947,0.2909090938893231,0.44729338721795514,0.7640603113174439,0.16800000607967377,0.2842898416519165,32,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,1,20,25,0.1,uniform,0.001,sigmoid,91
92,10,0.6897801973602988,0.709090921011838,0.0,0.6879680061340332,0.8319999957084656,0.0,16,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,2,30,10,0.0,uniform,0.1,sigmoid,92
93,25,0.6933602582324635,0.381818178025159,0.21390371972864325,0.6932568430900574,0.45600000500679017,0.22091874241828918,32,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x7faf18e49840>,0,20,25,0.0,uniform,0.001,sigmoid,93
94,4,0.6975014751607721,0.2909090938893231,0.44729338721795514,0.7002463865280152,0.3680000001192093,0.2890490782260895,16,<function sigmoid at 0x7faf18dfb840>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,20,4,0.2,uniform,0.01,sigmoid,94
95,4,0.692660310051658,0.6181818301027472,0.46666662801395764,0.6928896188735962,0.5360000026226044,0.1983491826057434,16,<function relu at 0x7faf18dfb730>,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x7faf18e49840>,1,10,4,0.2,normal,0.001,sigmoid,95
